"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"63 years"	"63"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	41777	Unreliable
	"63 years"	"63"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	10	48001	Unreliable
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	14	27978	Unreliable
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	38839	Unreliable
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	40252	49.7
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	29905	Unreliable
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	21	42774	49.1
	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	31944	Unreliable
	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	30809	Unreliable
	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	36721	Unreliable
	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	31488	Unreliable
	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	12	43202	Unreliable
	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	19	44437	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"Texas"	"48"	10	20093	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	26478	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	30778	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	14	33525	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	10	36943	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	14	38344	Unreliable
	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	39134	61.3
	"65 years"	"65"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	36517	Unreliable
	"65 years"	"65"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	29174	Unreliable
	"65 years"	"65"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	41923	Unreliable
	"65 years"	"65"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	11	42421	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	24955	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	30211	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	15	31855	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	33472	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	26	36514	71.2
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	13	27583	Unreliable
	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	32	37326	85.7
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	11	15500	Unreliable
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	34395	Unreliable
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	36669	Unreliable
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	12	28107	Unreliable
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	14	38376	Unreliable
	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	11	41061	Unreliable
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	13	24920	Unreliable
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	29883	Unreliable
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	22	31761	69.3
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	15	33039	Unreliable
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	12	25662	Unreliable
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	35506	67.6
	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	14	26966	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	12	15275	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	12	20982	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	10	34628	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	12	36455	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	27896	Unreliable
	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	18	37648	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	10	22508	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	11	24459	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	19	25398	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	21	29739	70.6
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	19	31213	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	12	24455	Unreliable
	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	32037	74.9
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	"Texas"	"48"	14	14307	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	23166	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	13	23814	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	11	27443	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	14	30270	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	15	34382	Unreliable
	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	22	35674	61.7
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	10	16130	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	19189	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	21122	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	15	22034	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	15	24099	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	16	25254	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	19	29322	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	18	30312	Unreliable
	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	13	23928	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	"Texas"	"48"	11	12406	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"California"	"06"	11	19501	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	21164	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	13	23125	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	22051	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	19	30068	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	12	23134	Unreliable
	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	20	33673	59.4
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	"California"	"06"	11	15171	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	14	18000	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	14	20728	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	16	21690	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	12	23807	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	18	24884	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	14	19466	Unreliable
	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	21	28484	73.7
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	11	22012	Unreliable
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	11	22918	Unreliable
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	10	27307	Unreliable
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	12	29254	Unreliable
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	18	29349	Unreliable
	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	13	22743	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	12	15444	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	17	16495	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	12	17401	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	13	17681	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	18	18797	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	15	20401	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	14	21393	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	23427	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	18561	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	18	24087	Unreliable
	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	12	19044	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	"Texas"	"48"	14	12587	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	23584	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	14	26187	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	13	27066	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	17	28587	Unreliable
	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	13	21500	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	10	14647	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"Texas"	"48"	10	11093	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	10	17167	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	16	17274	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	18393	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	11	20138	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	20978	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	16553	Unreliable
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	28	22640	123.7
	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	18092	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	"Texas"	"48"	10	10725	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	"Texas"	"48"	11	12351	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	18469	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	11	18673	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	22254	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	11	16306	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	18	23558	Unreliable
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	21	25866	81.2
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	22	26372	83.4
	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	19793	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	14201	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	11	15971	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	16716	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	11	16944	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	10	18176	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	10	13819	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	15	19724	Unreliable
	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	22	20229	108.8
	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	18504	Unreliable
	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	19301	Unreliable
	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	20210	Unreliable
	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	23	25241	91.1
	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	10	18481	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	"California"	"06"	10	12285	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	17	13941	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"Texas"	"48"	10	11453	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	13	16340	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	17	17821	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	19041	Unreliable
	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	14676	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	"California"	"06"	11	15565	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	12	16048	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	"Texas"	"48"	14	12215	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	18281	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	11	18904	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	14	19778	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	16	21291	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	13	21824	Unreliable
	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	22617	Unreliable
