"Notes"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2008"	"2008"	135661	43182582	314.2
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2009"	"2009"	137924	44395754	310.7
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2010"	"2010"	140709	45295968	310.6
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2011"	"2011"	146060	46671088	313.0
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2012"	"2012"	152473	47525706	320.8
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2013"	"2013"	159215	48425985	328.8
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2014"	"2014"	164374	49581674	331.5
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2015"	"2015"	174662	50632773	345.0
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2016"	"2016"	182826	51378054	355.8
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	11025	2344042	470.3
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	11626	2360621	492.5
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	12087	2383303	507.2
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	12724	2404476	529.2
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	12675	2428499	521.9
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	13399	2452970	546.2
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	13428	2477720	541.9
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	13711	2502533	547.9
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	14124	2528470	558.6
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	14259	2552151	558.7
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	14846	2569567	577.8
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	15181	2598792	584.2
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	15705	2620501	599.3
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	16219	2643000	613.7
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	17138	2667297	642.5
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	18039	2689706	670.7
	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	18595	2711067	685.9
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	34226	11355553	301.4
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	36465	11983178	304.3
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	37636	12472384	301.8
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	39319	12942337	303.8
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	39667	13406530	295.9
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	42324	13888295	304.7
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	43798	14375996	304.7
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	44763	14854701	301.3
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	46956	15336181	306.2
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	48152	15793995	304.9
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	50018	16133872	310.0
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	52346	16579709	315.7
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	55298	17175596	322.0
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	58702	17693870	331.8
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	60424	18436908	327.7
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	65277	19116557	341.5
	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	68235	19479730	350.3
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2000"	"2000"	282676	35091809	805.5
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2001"	"2001"	284343	35638389	797.9
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2002"	"2002"	286573	36049904	794.9
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2003"	"2003"	287968	36422205	790.6
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2004"	"2004"	283859	36848991	770.3
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2005"	"2005"	289163	37270736	775.8
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2006"	"2006"	286581	37719495	759.8
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2007"	"2007"	286366	38184699	749.9
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2008"	"2008"	285522	38651733	738.7
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2009"	"2009"	282982	39104815	723.7
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2010"	"2010"	283438	39437133	718.7
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2011"	"2011"	286797	39944896	718.0
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2012"	"2012"	291179	40391388	720.9
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2013"	"2013"	299227	40802086	733.4
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2014"	"2014"	303844	41316519	735.4
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2015"	"2015"	315254	41777483	754.6
	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	"2016"	"2016"	326810	42141669	775.5
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2000"	"2000"	1959919	197324684	993.2
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2001"	"2001"	1962810	197842671	992.1
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2002"	"2002"	1981973	198101982	1000.5
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2003"	"2003"	1979465	198289486	998.3
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2004"	"2004"	1933382	198619903	973.4
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2005"	"2005"	1967142	198880984	989.1
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2006"	"2006"	1944617	199200396	976.2
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2007"	"2007"	1939606	199492421	972.3
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2008"	"2008"	1981034	199783797	991.6
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2009"	"2009"	1944606	199993079	972.3
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2010"	"2010"	1969916	200127372	984.3
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2011"	"2011"	2006319	200423243	1001.0
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2012"	"2012"	2016896	200698847	1004.9
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2013"	"2013"	2052660	200918513	1021.6
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2014"	"2014"	2066949	201048793	1028.1
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2015"	"2015"	2123631	201242281	1055.3
	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	"2016"	"2016"	2133463	201324760	1059.7
"---"
"Dataset: Multiple Cause of Death, 1999-2019"
"Query Parameters:"
"Title: his_group"
"Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Year/Month: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016"
"Group By: Hispanic Origin; Race; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 23, 2021 6:00:02 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Feb 23, 2021 6:00:02 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"3. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Racial Differences."
"4. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for"
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS"
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The"
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal"
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,"
"2013. Population figures for 2011 are bridged-race estimates of the July 1 resident population, from the county-level postcensal"
"Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age"
"Groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
