"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2002"	"2002"	13	225154	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2003"	"2003"	24	224958	10.7
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2004"	"2004"	11	227303	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2005"	"2005"	19	231546	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2006"	"2006"	14	236446	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2007"	"2007"	16	242353	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2008"	"2008"	21	247231	8.5
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2009"	"2009"	28	249878	11.2
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2010"	"2010"	17	251728	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2011"	"2011"	20	252749	7.9
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2012"	"2012"	21	251321	8.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2013"	"2013"	20	250778	8.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2014"	"2014"	36	250038	14.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2015"	"2015"	21	246683	8.5
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2016"	"2016"	26	240192	10.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2002"	"2002"	10	46985	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2003"	"2003"	10	50511	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2004"	"2004"	11	54904	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2008"	"2008"	11	72421	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2012"	"2012"	17	82742	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2013"	"2013"	24	84367	28.4
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2014"	"2014"	15	85534	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2015"	"2015"	18	86324	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	"2016"	"2016"	18	86175	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2000"	"2000"	11	181042	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2001"	"2001"	21	184749	11.4
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2002"	"2002"	17	198471	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2003"	"2003"	19	204538	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2004"	"2004"	18	211722	Unreliable
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2005"	"2005"	24	219749	10.9
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2006"	"2006"	27	227787	11.9
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2007"	"2007"	22	224524	9.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2008"	"2008"	22	224724	9.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2009"	"2009"	28	226978	12.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2010"	"2010"	24	229839	10.4
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2011"	"2011"	25	235035	10.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2012"	"2012"	36	239134	15.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2013"	"2013"	45	242841	18.5
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2014"	"2014"	37	243567	15.2
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2015"	"2015"	37	244695	15.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"White"	"2106-3"	"2016"	"2016"	45	245863	18.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2000"	"2000"	11	35709	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2002"	"2002"	12	36886	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2003"	"2003"	11	37858	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2007"	"2007"	10	46096	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2008"	"2008"	12	49621	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2011"	"2011"	14	62813	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2012"	"2012"	13	65391	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2013"	"2013"	18	68147	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2014"	"2014"	18	70685	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2015"	"2015"	28	73197	38.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	"2016"	"2016"	19	75234	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2000"	"2000"	28	152732	18.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2001"	"2001"	20	155700	12.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2002"	"2002"	25	159936	15.6
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2003"	"2003"	28	167039	16.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2004"	"2004"	30	172902	17.4
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2005"	"2005"	33	177007	18.6
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2006"	"2006"	25	181097	13.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2007"	"2007"	33	194714	16.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2008"	"2008"	29	201373	14.4
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2009"	"2009"	42	208280	20.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2010"	"2010"	51	214405	23.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2011"	"2011"	40	222531	18.0
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2012"	"2012"	26	218008	11.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2013"	"2013"	43	216766	19.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2014"	"2014"	42	218599	19.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2015"	"2015"	44	222063	19.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"White"	"2106-3"	"2016"	"2016"	54	225655	23.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2002"	"2002"	12	32256	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2003"	"2003"	19	32583	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2005"	"2005"	14	33515	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2006"	"2006"	12	34125	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2007"	"2007"	10	34807	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2009"	"2009"	14	37467	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2010"	"2010"	18	38286	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2011"	"2011"	16	39869	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2012"	"2012"	12	43025	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2013"	"2013"	19	45977	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2014"	"2014"	20	49836	40.1
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2015"	"2015"	17	53865	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	"2016"	"2016"	19	57966	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2000"	"2000"	44	135356	32.5
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2001"	"2001"	37	136006	27.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2002"	"2002"	45	136880	32.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2003"	"2003"	39	139577	27.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2004"	"2004"	42	142385	29.5
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2005"	"2005"	36	144711	24.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2006"	"2006"	50	148549	33.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2007"	"2007"	38	152893	24.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2008"	"2008"	44	159894	27.5
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2009"	"2009"	43	165650	26.0
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2010"	"2010"	45	168704	26.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2011"	"2011"	46	172303	26.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2012"	"2012"	49	186174	26.3
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2013"	"2013"	55	191081	28.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2014"	"2014"	70	197337	35.5
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2015"	"2015"	70	203019	34.5
	"Alabama"	"01"	"65-69 years"	"65-69"	"White"	"2106-3"	"2016"	"2016"	64	208994	30.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2000"	"2000"	22	27639	79.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2001"	"2001"	11	27413	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2002"	"2002"	19	27189	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2003"	"2003"	21	27145	77.4
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2004"	"2004"	10	27141	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2005"	"2005"	20	27224	73.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2006"	"2006"	11	27827	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2007"	"2007"	24	28169	85.2
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2008"	"2008"	20	28643	69.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2009"	"2009"	14	28527	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2010"	"2010"	19	28889	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2011"	"2011"	18	29640	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2012"	"2012"	17	30120	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2013"	"2013"	19	31144	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2014"	"2014"	13	32381	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2015"	"2015"	17	33607	Unreliable
	"Alabama"	"01"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	"2016"	"2016"	27	35029	77.1
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2000"	"2000"	73	120307	60.7
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2001"	"2001"	68	120689	56.3
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2002"	"2002"	69	119821	57.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2003"	"2003"	59	119156	49.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2004"	"2004"	53	118798	44.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2005"	"2005"	64	120706	53.0
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2006"	"2006"	56	122400	45.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2007"	"2007"	47	123337	38.1
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2008"	"2008"	61	126048	48.4
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2009"	"2009"	63	129051	48.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2010"	"2010"	72	130383	55.2
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2011"	"2011"	62	133673	46.4
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2012"	"2012"	64	138090	46.3
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2013"	"2013"	47	144822	32.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2014"	"2014"	79	149646	52.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2015"	"2015"	96	153107	62.7
	"Alabama"	"01"	"70-74 years"	"70-74"	"White"	"2106-3"	"2016"	"2016"	80	155496	51.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2000"	"2000"	21	21510	97.6
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2001"	"2001"	12	21868	Unreliable
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2002"	"2002"	24	21997	109.1
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2003"	"2003"	29	21822	132.9
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2004"	"2004"	26	21563	120.6
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2005"	"2005"	24	21639	110.9
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2006"	"2006"	21	21619	97.1
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2007"	"2007"	21	21440	97.9
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2008"	"2008"	24	21642	110.9
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2009"	"2009"	17	21321	Unreliable
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2010"	"2010"	20	21188	94.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2011"	"2011"	25	21913	114.1
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2012"	"2012"	25	22199	112.6
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2013"	"2013"	16	22635	Unreliable
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2014"	"2014"	14	23174	Unreliable
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2015"	"2015"	18	23571	Unreliable
	"Alabama"	"01"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	"2016"	"2016"	29	23973	121.0
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2000"	"2000"	109	96117	113.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2001"	"2001"	124	96364	128.7
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2002"	"2002"	129	97013	133.0
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2003"	"2003"	140	98272	142.5
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2004"	"2004"	103	98063	105.0
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2005"	"2005"	118	98533	119.8
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2006"	"2006"	108	99671	108.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2007"	"2007"	85	99451	85.5
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2008"	"2008"	87	99340	87.6
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2009"	"2009"	94	99435	94.5
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2010"	"2010"	91	100661	90.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2011"	"2011"	96	101728	94.4
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2012"	"2012"	99	103015	96.1
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2013"	"2013"	87	105868	82.2
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2014"	"2014"	109	109030	100.0
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2015"	"2015"	113	110811	102.0
	"Alabama"	"01"	"75-79 years"	"75-79"	"White"	"2106-3"	"2016"	"2016"	111	113286	98.0
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2000"	"2000"	36	14423	249.6
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2001"	"2001"	28	14500	193.1
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2002"	"2002"	31	14469	214.3
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2003"	"2003"	32	14963	213.9
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2004"	"2004"	28	14924	187.6
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2005"	"2005"	31	14856	208.7
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2006"	"2006"	26	15031	173.0
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2007"	"2007"	24	15165	158.3
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2008"	"2008"	25	15204	164.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2009"	"2009"	24	14960	160.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2010"	"2010"	17	15074	Unreliable
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2011"	"2011"	30	15123	198.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2012"	"2012"	27	15026	179.7
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2013"	"2013"	28	15062	185.9
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2014"	"2014"	17	15305	Unreliable
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2015"	"2015"	30	15592	192.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	"2016"	"2016"	21	16232	129.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2000"	"2000"	180	63000	285.7
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2001"	"2001"	166	65143	254.8
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2002"	"2002"	218	66396	328.3
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2003"	"2003"	170	67849	250.6
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2004"	"2004"	195	69033	282.5
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2005"	"2005"	145	69562	208.4
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2006"	"2006"	148	70249	210.7
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2007"	"2007"	125	71218	175.5
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2008"	"2008"	130	72572	179.1
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2009"	"2009"	124	72796	170.3
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2010"	"2010"	134	73144	183.2
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2011"	"2011"	141	74181	190.1
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2012"	"2012"	121	74612	162.2
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2013"	"2013"	152	74838	203.1
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2014"	"2014"	119	75175	158.3
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2015"	"2015"	147	75977	193.5
	"Alabama"	"01"	"80-84 years"	"80-84"	"White"	"2106-3"	"2016"	"2016"	114	76982	148.1
	"Alabama"	"01"	"85-89 years"	"85-89"	"Black or African American"	"2054-5"	"2000"	"2000"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Black or African American"	"2054-5"	"2001"	"2001"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Black or African American"	"2054-5"	"2002"	"2002"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Black or African American"	"2054-5"	"2003"	"2003"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Black or African American"	"2054-5"	"2004"	"2004"	31	Not Applicable	Not Applicable
