"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	870853	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	863051	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	14	991655	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	11	1003784	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	12	1004653	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	10	926887	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	11	188765	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	28	796909	3.5
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	23	771204	3.0
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	29	746530	3.9
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	17	720161	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	29	700140	4.1
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	21	692350	3.0
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	25	689512	3.6
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	17	676216	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	13	652639	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	11	624224	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	12	600423	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	11	550251	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	562855	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	11	203928	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	17	440509	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	18	430448	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	419874	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	398398	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	13	400817	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	13	384728	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	14	695427	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	22	664958	3.3
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	15	639246	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	13	613155	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	14	590721	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	11	569650	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	14	557814	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	541829	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	12	506854	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	11	483279	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	13	477354	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	19	401153	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	26	388390	6.7
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	12	374675	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	18	357097	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	16	354922	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	15	350640	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	12	334906	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	10	313100	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	10	315176	Unreliable
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	13	289360	Unreliable
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	20	280691	7.1
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	21	273511	7.7
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	12	265568	Unreliable
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	14	259524	Unreliable
	"35-39 years"	"35-39"	"Kentucky"	"21"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	12	255491	Unreliable
	"35-39 years"	"35-39"	"Louisiana"	"22"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	10	195603	Unreliable
	"35-39 years"	"35-39"	"Maryland"	"24"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	241328	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	11	450073	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	16	435418	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	16	421876	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	18	406040	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	13	387650	Unreliable
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	10	374741	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	22	637411	3.5
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	18	613010	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	569730	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	13	549496	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	15	537538	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	13	530498	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	10	515136	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	13	494312	Unreliable
	"35-39 years"	"35-39"	"Michigan"	"26"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	453974	Unreliable
	"35-39 years"	"35-39"	"Minnesota"	"27"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	12	370721	Unreliable
	"35-39 years"	"35-39"	"Minnesota"	"27"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	354994	Unreliable
	"35-39 years"	"35-39"	"Minnesota"	"27"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	10	339403	Unreliable
	"35-39 years"	"35-39"	"Mississippi"	"28"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	12	114365	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	17	375838	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	12	359120	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	13	343964	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	328279	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	13	316643	Unreliable
	"35-39 years"	"35-39"	"Missouri"	"29"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	14	300661	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	15	475945	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	457956	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	11	422946	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	10	403945	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	11	389055	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	10	375464	Unreliable
	"35-39 years"	"35-39"	"New Jersey"	"34"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	341372	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"Black or African American"	"2054-5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	13	250358	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	34	960575	3.5
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	33	926848	3.6
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	22	898407	2.4
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	25	868199	2.9
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	16	837081	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	19	815560	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	20	796477	2.5
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	15	770282	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	740189	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	16	706084	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	19	678744	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	643439	Unreliable
	"35-39 years"	"35-39"	"New York"	"36"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	10	651411	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	16	465990	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	13	454275	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	18	443867	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	19	432664	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	19	428048	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	18	438812	Unreliable
	"35-39 years"	"35-39"	"North Carolina"	"37"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	10	431316	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	25	752116	3.3
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	31	721892	4.3
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	24	697136	3.4
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	18	674130	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	14	655625	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	15	644397	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	14	642359	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	16	633248	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	16	617565	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	17	596582	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	15	579993	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	13	536633	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	16	539511	Unreliable
	"35-39 years"	"35-39"	"Ohio"	"39"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	12	546273	Unreliable
	"35-39 years"	"35-39"	"Oklahoma"	"40"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	11	199051	Unreliable
	"35-39 years"	"35-39"	"Oklahoma"	"40"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	13	187746	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	14	803191	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	32	769962	4.2
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	18	743989	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	17	719639	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	16	695883	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	19	679269	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	21	671120	3.1
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	13	656779	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	15	611594	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	592180	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	559118	Unreliable
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	12	540622	Unreliable
	"35-39 years"	"35-39"	"South Carolina"	"45"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	12	205228	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	20	362544	5.5
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	12	353184	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	14	344036	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	12	324211	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	10	328938	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	330277	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	10	317322	Unreliable
	"35-39 years"	"35-39"	"Tennessee"	"47"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	12	302065	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"Black or African American"	"2054-5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	10	205236	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	26	906351	2.9
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	17	863631	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	15	825002	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	21	787355	2.7
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	764013	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	15	759534	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	17	770640	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	12	775680	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	12	769509	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	15	754236	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	10	676663	Unreliable
