"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	195609	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	18	1423028	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	34	1423998	2.4
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	26	1406141	1.8
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	38	1382544	2.7
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	20	1356867	1.5
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	20	1305243	1.5
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	16	1235874	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	16	1169374	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	19	1112900	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	13	1066526	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	13	1049015	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	11	1038523	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	18	1016570	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	12	983342	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	10	898579	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	15	812906	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	32	829707	3.9
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	15	834903	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	13	834136	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	24	839490	2.9
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	22	833508	2.6
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	19	808618	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	13	773392	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	18	737513	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	19	703841	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	17	689273	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	17	685598	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	13	675789	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	18	657092	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	17	636084	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	611590	Unreliable
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	12	585958	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	13	427618	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	435367	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	436938	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	11	437014	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	438019	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	14	435907	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	12	419004	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	13	408586	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	11	398719	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	14	395786	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	396793	Unreliable
	"40-44 years"	"40-44"	"Georgia"	"13"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	13	363695	Unreliable
	"40-44 years"	"40-44"	"Illinois"	"17"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	715855	Unreliable
	"40-44 years"	"40-44"	"Illinois"	"17"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	12	709291	Unreliable
	"40-44 years"	"40-44"	"Illinois"	"17"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	13	640531	Unreliable
	"40-44 years"	"40-44"	"Illinois"	"17"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	559926	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	427065	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	424429	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	12	409844	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	11	397217	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	13	384635	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	16	371093	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	14	358640	Unreliable
	"40-44 years"	"40-44"	"Indiana"	"18"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	14	353084	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	292133	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	10	290705	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	288671	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	12	285664	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	11	280535	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	16	273803	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	17	266365	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	16	259627	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	13	257157	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	15	255489	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	13	252946	Unreliable
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	21	247118	8.5
	"40-44 years"	"40-44"	"Kentucky"	"21"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	10	241287	Unreliable
	"40-44 years"	"40-44"	"Michigan"	"26"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	15	666476	Unreliable
	"40-44 years"	"40-44"	"Michigan"	"26"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	15	658561	Unreliable
	"40-44 years"	"40-44"	"Michigan"	"26"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	13	639164	Unreliable
	"40-44 years"	"40-44"	"Michigan"	"26"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	12	622729	Unreliable
	"40-44 years"	"40-44"	"Michigan"	"26"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	13	600533	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	10	380466	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	13	383902	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	14	358976	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	344250	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	328588	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	13	316949	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	312087	Unreliable
	"40-44 years"	"40-44"	"Missouri"	"29"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	288264	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	13	973425	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	976341	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	968612	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	943451	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	19	919419	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	15	887986	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	857055	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	826324	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	780779	Unreliable
	"40-44 years"	"40-44"	"New York"	"36"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	744450	Unreliable
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	10	458761	Unreliable
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	467501	Unreliable
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	15	469586	Unreliable
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	15	452611	Unreliable
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	20	451086	4.4
	"40-44 years"	"40-44"	"North Carolina"	"37"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	14	433726	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	14	791784	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	15	792484	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	781393	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	765807	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	15	752472	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	15	734459	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	19	708195	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	24	684454	3.5
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	26	661368	3.9
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	10	642266	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	12	632228	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	30	630483	4.8
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	23	621120	3.7
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	11	607493	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	13	588389	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	14	566777	Unreliable
	"40-44 years"	"40-44"	"Oklahoma"	"40"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	10	178731	Unreliable
	"40-44 years"	"40-44"	"Oklahoma"	"40"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	165257	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	13	858487	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	14	828853	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	14	813435	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	744296	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	13	697104	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	11	657345	Unreliable
	"40-44 years"	"40-44"	"Pennsylvania"	"42"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	11	635506	Unreliable
	"40-44 years"	"40-44"	"South Carolina"	"45"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	11	202354	Unreliable
	"40-44 years"	"40-44"	"South Carolina"	"45"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	10	188068	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	365039	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	16	363414	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	19	362926	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	16	364002	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	10	362343	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	20	358004	5.6
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	14	351471	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	19	343474	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	15	335366	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	13	332815	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	16	335599	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	335196	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	13	333985	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	17	327345	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	13	317709	Unreliable
	"40-44 years"	"40-44"	"Tennessee"	"47"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	14	305811	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	17	945287	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	12	952224	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	19	944026	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	933075	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	16	921267	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	17	894298	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	15	861183	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	15	827261	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	19	794940	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	11	775694	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	772771	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	14	785288	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	20	783627	2.6
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	17	750220	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	14	724452	Unreliable
	"45-49 years"	"45-49"	"Alabama"	"01"	"Black or African American"	"2054-5"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	82915	Unreliable
	"45-49 years"	"45-49"	"Alabama"	"01"	"Black or African American"	"2054-5"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	12	79076	Unreliable
	"45-49 years"	"45-49"	"Alabama"	"01"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	13	229415	Unreliable
	"45-49 years"	"45-49"	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	14	233844	Unreliable
	"45-49 years"	"45-49"	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	23	238137	9.7
