"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2013"	"2013"	11	904885	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2014"	"2014"	11	928633	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2015"	"2015"	11	950808	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2016"	"2016"	17	971890	Unreliable
	"30-34 years"	"30-34"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2010"	"2010"	11	219033	Unreliable
	"30-34 years"	"30-34"	"Georgia"	"13"	"White"	"2106-3"	"2013"	"2013"	11	413644	Unreliable
	"30-34 years"	"30-34"	"Illinois"	"17"	"Black or African American"	"2054-5"	"2000"	"2000"	11	137931	Unreliable
	"30-34 years"	"30-34"	"Illinois"	"17"	"White"	"2106-3"	"2000"	"2000"	14	733477	Unreliable
	"30-34 years"	"30-34"	"Illinois"	"17"	"White"	"2106-3"	"2001"	"2001"	16	732858	Unreliable
	"30-34 years"	"30-34"	"Illinois"	"17"	"White"	"2106-3"	"2002"	"2002"	13	727731	Unreliable
	"30-34 years"	"30-34"	"Illinois"	"17"	"White"	"2106-3"	"2012"	"2012"	11	690025	Unreliable
	"30-34 years"	"30-34"	"Michigan"	"26"	"White"	"2106-3"	"2001"	"2001"	10	569249	Unreliable
	"30-34 years"	"30-34"	"Michigan"	"26"	"White"	"2106-3"	"2002"	"2002"	13	559460	Unreliable
	"30-34 years"	"30-34"	"Missouri"	"29"	"White"	"2106-3"	"2001"	"2001"	11	321906	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2000"	"2000"	13	1059403	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2001"	"2001"	13	1044821	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2002"	"2002"	11	1019092	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2003"	"2003"	13	985940	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2004"	"2004"	11	945401	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2007"	"2007"	12	858335	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2011"	"2011"	10	908392	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2012"	"2012"	10	922114	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2013"	"2013"	11	937480	Unreliable
	"30-34 years"	"30-34"	"New York"	"36"	"White"	"2106-3"	"2016"	"2016"	10	950341	Unreliable
	"30-34 years"	"30-34"	"North Carolina"	"37"	"White"	"2106-3"	"2005"	"2005"	11	454119	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2000"	"2000"	11	672424	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2001"	"2001"	11	665650	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2002"	"2002"	14	654515	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2005"	"2005"	11	592177	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2010"	"2010"	13	573657	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2011"	"2011"	10	586251	Unreliable
	"30-34 years"	"30-34"	"Ohio"	"39"	"White"	"2106-3"	"2016"	"2016"	10	594117	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2000"	"2000"	10	709667	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2003"	"2003"	12	660841	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2005"	"2005"	11	609517	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2006"	"2006"	11	585548	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2008"	"2008"	10	578536	Unreliable
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"White"	"2106-3"	"2014"	"2014"	10	642599	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2000"	"2000"	22	1300383	1.7
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2001"	"2001"	21	1331037	1.6
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2002"	"2002"	13	1353187	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	21	1360035	1.5
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	20	1358363	1.5
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2005"	"2005"	21	1349699	1.6
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	12	1342533	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	20	1348427	1.5
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	24	1361132	1.8
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2009"	"2009"	19	1388306	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	24	1414383	1.7
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	20	1458020	1.4
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2012"	"2012"	26	1490983	1.7
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2013"	"2013"	17	1523185	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2014"	"2014"	21	1553633	1.4
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2015"	"2015"	19	1571712	Unreliable
	"30-34 years"	"30-34"	"Texas"	"48"	"White"	"2106-3"	"2016"	"2016"	22	1585509	1.4
	"30-34 years"	"30-34"	"Virginia"	"51"	"White"	"2106-3"	"2003"	"2003"	10	391964	Unreliable
	"35-39 years"	"35-39"	"Alabama"	"01"	"Black or African American"	"2054-5"	"2003"	"2003"	12	79727	Unreliable
	"35-39 years"	"35-39"	"Alabama"	"01"	"Black or African American"	"2054-5"	"2014"	"2014"	11	82729	Unreliable
	"35-39 years"	"35-39"	"Alabama"	"01"	"White"	"2106-3"	"2002"	"2002"	10	233144	Unreliable
	"35-39 years"	"35-39"	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	10	219873	Unreliable
	"35-39 years"	"35-39"	"Arizona"	"04"	"White"	"2106-3"	"2000"	"2000"	10	346279	Unreliable
	"35-39 years"	"35-39"	"Arizona"	"04"	"White"	"2106-3"	"2006"	"2006"	11	352231	Unreliable
	"35-39 years"	"35-39"	"Arizona"	"04"	"White"	"2106-3"	"2007"	"2007"	10	358371	Unreliable
	"35-39 years"	"35-39"	"Arizona"	"04"	"White"	"2106-3"	"2016"	"2016"	10	357370	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	15	365881	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	12	371334	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	20	376421	5.3
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	12	395740	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	12	409747	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	16	424977	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	11	444566	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	12	446671	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	16	470814	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2000"	"2000"	24	216262	11.1
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2001"	"2001"	10	212079	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2002"	"2002"	15	206397	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2003"	"2003"	12	200943	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2005"	"2005"	15	193337	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2013"	"2013"	11	172194	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Black or African American"	"2054-5"	"2015"	"2015"	11	182923	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	45	2204328	2.0
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	54	2168494	2.5
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	49	2125769	2.3
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	52	2091711	2.5
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	43	2058892	2.1
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	45	2049014	2.2
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	45	2041865	2.2
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	57	2014289	2.8
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	44	1980741	2.2
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	42	1939705	2.2
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	38	1899224	2.0
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	31	1854166	1.7
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	35	1844924	1.9
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	35	1851970	1.9
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	39	1875464	2.1
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	40	1908908	2.1
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	44	1931540	2.3
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2000"	"2000"	10	197896	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2001"	"2001"	14	199381	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2002"	"2002"	11	199693	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2003"	"2003"	19	199022	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2004"	"2004"	12	198448	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2005"	"2005"	11	200568	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2007"	"2007"	16	207458	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2008"	"2008"	14	210302	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2009"	"2009"	17	211422	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2012"	"2012"	11	211884	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2013"	"2013"	22	214266	10.3
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2014"	"2014"	10	221361	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"Black or African American"	"2054-5"	"2016"	"2016"	12	240057	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2000"	"2000"	24	1028434	2.3
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	25	1015978	2.5
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2002"	"2002"	25	998835	2.5
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2003"	"2003"	10	976832	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2004"	"2004"	25	961762	2.6
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2005"	"2005"	25	963112	2.6
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2006"	"2006"	21	971048	2.2
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2007"	"2007"	25	967679	2.6
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2008"	"2008"	20	952945	2.1
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2009"	"2009"	16	931765	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2010"	"2010"	10	912083	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2011"	"2011"	16	879065	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2012"	"2012"	13	869421	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2013"	"2013"	15	869484	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2014"	"2014"	23	883630	2.6
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2015"	"2015"	19	910139	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2016"	"2016"	25	936568	2.7
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2000"	"2000"	17	206363	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2001"	"2001"	12	210066	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2003"	"2003"	10	208523	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2006"	"2006"	18	213497	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2007"	"2007"	13	219966	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2008"	"2008"	12	224806	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2010"	"2010"	16	223589	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2011"	"2011"	15	218680	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2012"	"2012"	13	216122	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2013"	"2013"	19	215760	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2016"	"2016"	17	234612	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2000"	"2000"	14	472164	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2001"	"2001"	16	465731	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2005"	"2005"	12	445136	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2006"	"2006"	15	455131	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2008"	"2008"	15	457637	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2009"	"2009"	15	447892	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2010"	"2010"	12	435194	Unreliable
	"35-39 years"	"35-39"	"Georgia"	"13"	"White"	"2106-3"	"2016"	"2016"	16	409304	Unreliable
	"35-39 years"	"35-39"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	10	61272	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"Black or African American"	"2054-5"	"2000"	"2000"	12	147632	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"Black or African American"	"2054-5"	"2004"	"2004"	12	132142	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"Black or African American"	"2054-5"	"2006"	"2006"	11	131981	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"Black or African American"	"2054-5"	"2010"	"2010"	10	128682	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2000"	"2000"	22	807341	2.7
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2001"	"2001"	12	782162	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2002"	"2002"	22	759619	2.9
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2003"	"2003"	14	738187	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2004"	"2004"	17	719081	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2007"	"2007"	13	701496	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2008"	"2008"	10	690639	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2009"	"2009"	11	675058	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2013"	"2013"	10	639442	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2014"	"2014"	10	643903	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2015"	"2015"	13	650284	Unreliable
	"35-39 years"	"35-39"	"Illinois"	"17"	"White"	"2106-3"	"2016"	"2016"	14	655132	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2000"	"2000"	11	430696	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2001"	"2001"	10	416579	Unreliable
	"35-39 years"	"35-39"	"Indiana"	"18"	"White"	"2106-3"	"2003"	"2003"	13	392066	Unreliable
