"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	10	697929	Unreliable
	"40-44 years"	"40-44"	"Texas"	"48"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	10	705833	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	10	389551	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	10	401297	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	12	411987	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	15	426219	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	15	432847	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	10	180491	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	10	185501	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	16	168661	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	10	165082	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	17	162938	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"Black or African American"	"2054-5"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	22	160578	13.7
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	12	1366320	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	11	666638	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	21	1362005	1.5
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	15	691463	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	14	1352640	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	1328192	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	13	740799	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	15	1301710	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	26	769029	3.4
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	25	1278520	2.0
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	19	784627	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	17	1245851	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	23	811046	2.8
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	18	1178042	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	23	826199	2.8
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	26	1128162	2.3
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	28	846807	3.3
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	24	1079581	2.2
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	32	875497	3.7
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	19	1044399	Unreliable
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	41	897791	4.6
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	33	1028179	3.2
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	46	904672	5.1
	"45-49 years"	"45-49"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	41	1018169	4.0
	"45-49 years"	"45-49"	"Florida"	"12"	"Black or African American"	"2054-5"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	201935	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"Black or African American"	"2054-5"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	13	199154	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"Black or African American"	"2054-5"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	199426	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"Black or African American"	"2054-5"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	11	201596	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	11	795065	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	815537	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	13	866654	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	19	862974	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	13	853399	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	21	845479	2.5
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	11	799289	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	10	770314	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	17	738098	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	14	714137	Unreliable
	"45-49 years"	"45-49"	"Florida"	"12"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	23	708380	3.2
	"45-49 years"	"45-49"	"Georgia"	"13"	"Black or African American"	"2054-5"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	219204	Unreliable
	"45-49 years"	"45-49"	"Indiana"	"18"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	12	411626	Unreliable
	"45-49 years"	"45-49"	"Indiana"	"18"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	11	346693	Unreliable
	"45-49 years"	"45-49"	"Kentucky"	"21"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	252513	Unreliable
	"45-49 years"	"45-49"	"Michigan"	"26"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	627985	Unreliable
	"45-49 years"	"45-49"	"Michigan"	"26"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	11	617452	Unreliable
	"45-49 years"	"45-49"	"Michigan"	"26"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	578442	Unreliable
	"45-49 years"	"45-49"	"New York"	"36"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	12	927801	Unreliable
	"45-49 years"	"45-49"	"North Carolina"	"37"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	10	459557	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	739848	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	12	753467	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	12	765888	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	772616	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	15	772371	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	13	773313	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	14	762730	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	14	747991	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	12	734789	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	20	722085	2.8
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	19	691866	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	16	668658	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	17	647863	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	18	629213	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	13	620327	Unreliable
	"45-49 years"	"45-49"	"Ohio"	"39"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	18	617359	Unreliable
	"45-49 years"	"45-49"	"Pennsylvania"	"42"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	12	836501	Unreliable
	"45-49 years"	"45-49"	"Pennsylvania"	"42"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	13	844183	Unreliable
	"45-49 years"	"45-49"	"Pennsylvania"	"42"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	12	834035	Unreliable
	"45-49 years"	"45-49"	"Pennsylvania"	"42"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	817301	Unreliable
	"45-49 years"	"45-49"	"Pennsylvania"	"42"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	760212	Unreliable
	"45-49 years"	"45-49"	"Tennessee"	"47"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	10	357490	Unreliable
	"45-49 years"	"45-49"	"Tennessee"	"47"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	334237	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"Black or African American"	"2054-5"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	217292	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	11	919294	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	10	417189	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	14	926873	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	11	440034	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	10	941792	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	13	481927	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	19	937265	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	13	502457	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	11	929468	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	14	523816	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	12	920612	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	10	536096	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	12	902855	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	18	554835	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	10	862233	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	17	572821	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	10	798224	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	15	590948	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	11	781241	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	16	610286	Unreliable
	"45-49 years"	"45-49"	"Texas"	"48"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	18	626952	Unreliable
	"45-49 years"	"45-49"	"Virginia"	"51"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	11	368398	Unreliable
	"45-49 years"	"45-49"	"Virginia"	"51"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	11	361613	Unreliable
	"45-49 years"	"45-49"	"Virginia"	"51"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	13	362533	Unreliable
	"45-49 years"	"45-49"	"Washington"	"53"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	400357	Unreliable
	"45-49 years"	"45-49"	"Washington"	"53"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	10	345477	Unreliable
	"50-54 years"	"50-54"	"Arizona"	"04"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	12	284765	Unreliable
	"50-54 years"	"50-54"	"Arizona"	"04"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	11	282006	Unreliable
	"50-54 years"	"50-54"	"Arizona"	"04"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	18	273993	Unreliable
	"50-54 years"	"50-54"	"Arizona"	"04"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	11	100922	Unreliable
	"50-54 years"	"50-54"	"Arizona"	"04"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	11	265494	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	10	372367	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	13	384786	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	14	394033	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	12	407883	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	17	412441	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	25	409532	6.1
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	13	159050	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	16	169821	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	18	174674	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	18	177842	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	18	179023	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	29	178438	16.3
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	28	178004	15.7
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	35	175589	19.9
	"50-54 years"	"50-54"	"California"	"06"	"Black or African American"	"2054-5"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	44	170898	25.7
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	15	1223941	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	12	1276234	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	12	425236	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	18	1249825	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	20	449768	4.4
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	21	1256316	1.7
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	18	476777	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	17	1266829	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	14	504172	Unreliable
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	31	1273799	2.4
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	27	531379	5.1
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	33	1280099	2.6
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	26	559733	4.6
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	40	1293981	3.1
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	36	588994	6.1
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	38	1302708	2.9
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	31	616449	5.0
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	42	1300280	3.2
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	35	640829	5.5
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	39	1304518	3.0
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	42	672411	6.2
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	38	1300959	2.9
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	44	694620	6.3
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-2"	60	1285275	4.7
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	46	717215	6.4
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	59	1263471	4.7
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	44	753392	5.8
	"50-54 years"	"50-54"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	43	1240546	3.5
